사용일자,자치구,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,노원구,경원선,광운대,10117,9781,20231110
20231107,종로구,5호선,광화문(세종문화회관),36797,38647,20231110
20231107,마포구,6호선,광흥창(서강),10907,10482,20231110
20231107,서초구,3호선,교대(법원.검찰청),18741,11503,20231110
20231107,서초구,2호선,교대(법원.검찰청),35358,42038,20231110
20231107,구로구,경부선,구로,19552,19872,20231110
20231107,구로구,2호선,구로디지털단지,63702,63128,20231110
20231107,강남구,분당선,구룡,3276,3077,20231110
20231107,서초구,9호선,구반포,1180,1243,20231110
20231107,은평구,6호선,구산,8907,6792,20231110
20231107,광진구,2호선,구의(광진구청),27207,26853,20231110
20231107,구로구,경인선,구일,7744,7643,20231110
20231107,은평구,3호선,구파발,24392,23353,20231110
20231107,영등포구,9호선,국회의사당,21309,21803,20231110
20231107,광진구,7호선,군자(능동),16701,13254,20231110
20231107,광진구,5호선,군자(능동),12498,13671,20231110
20231107,강동구,5호선,굽은다리(강동구민회관앞),10322,9884,20231110
20231107,금천구,경부선,금천구청,12884,12909,20231110
20231107,성동구,3호선,금호,8969,8526,20231110
20231107,강동구,5호선,길동,8675,9086,20231110
20231107,성북구,4호선,길음,25133,25276,20231110
20231107,강서구,9호선,김포공항,7332,9749,20231110
20231107,강서구,서해선,김포공항,2883,3422,20231110
20231107,강서구,5호선,김포공항,9591,7420,20231110
20231107,강서구,공항철도 1호선,김포공항,10516,5991,20231110
20231107,강서구,5호선,까치산,31020,30104,20231110
20231107,관악구,2호선,낙성대(강감찬),29824,29461,20231110
20231107,구로구,7호선,남구로,17067,17878,20231110
20231107,서초구,3호선,남부터미널(예술의전당),31647,32331,20231110
20231107,동작구,7호선,남성,13028,12270,20231110
20231107,용산구,경부선,남영,11443,12254,20231110
20231107,서초구,4호선,남태령,1355,1186,20231110
20231107,서초구,7호선,내방,16980,17260,20231110
20231107,동작구,9호선,노들,5264,4256,20231110
20231107,동작구,경부선,노량진,9018,9265,20231110
20231107,동작구,9호선,노량진,28275,27675,20231110
20231107,노원구,7호선,노원,21884,22552,20231110
20231107,노원구,4호선,노원,20762,23945,20231110
20231107,은평구,3호선,녹번,17845,16425,20231110
20231107,용산구,6호선,녹사평(용산구청),5351,5245,20231110
20231107,노원구,경원선,녹천,5063,4253,20231110
20231107,강남구,7호선,논현,20379,20858,20231110
20231107,성동구,5호선,답십리,18135,16479,20231110
20231107,노원구,4호선,당고개,10461,9130,20231110
20231107,관악구,신림선,당곡,5008,5004,20231110
20231107,영등포구,9호선,당산,21303,21467,20231110
20231107,영등포구,2호선,당산,20208,23849,20231110
20231107,구로구,2호선,대림(구로구청),26150,26952,20231110
20231107,영등포구,7호선,대림(구로구청),9314,9247,20231110
20231107,강남구,분당선,대모산입구,7109,6646,20231110
20231107,영등포구,신림선,대방,2998,2388,20231110
20231107,영등포구,경부선,대방,11920,12977,20231110
20231107,강남구,3호선,대청,12320,11526,20231110
20231107,강남구,3호선,대치,13173,13343,20231110
20231107,마포구,6호선,대흥(서강대앞),10981,11449,20231110
20231107,강남구,분당선,도곡,8408,8460,20231110
20231107,강남구,3호선,도곡,5706,5475,20231110
20231107,구로구,2호선,도림천,1380,1495,20231110
20231107,도봉구,경원선,도봉,6440,6232,20231110
20231107,도봉구,7호선,도봉산,10695,12230,20231110
20231107,도봉구,경원선,도봉산,8134,5237,20231110
20231107,종로구,3호선,독립문,8044,8414,20231110
20231107,은평구,6호선,독바위,3030,3227,20231110
20231107,금천구,경부선,독산,20636,21315,20231110
20231107,성북구,6호선,돌곶이,11165,10286,20231110
20231107,종로구,1호선,동대문,11783,11316,20231110
20231107,종로구,4호선,동대문,22022,22948,20231110
20231107,중구,5호선,동대문역사문화공원(DDP),3579,4223,20231110
20231107,중구,2호선,동대문역사문화공원(DDP),14985,16925,20231110
20231107,중구,4호선,동대문역사문화공원(DDP),19253,17126,20231110
20231107,중구,3호선,동대입구,13046,14729,20231110
20231107,종로구,1호선,동묘앞,9108,9394,20231110
20231107,종로구,6호선,동묘앞,8496,8760,20231110
